Target Function,Software,Config,Tag,Source File,Proof Relpath,Proof Found,Compile Succeeded,Links Target,Semantic Valid,Development Succeeds,Verification Completes,Verification Time,Verification Succeeds,Target Function Reachable Line Count,Target Function Covered Line Count,Target Function Line Coverage %,Program Reachable Line Count,Program Covered Line Count,Program Line Coverage %,Overall Reachable Line Count,Overall Covered Line Count,Overall Line Coverage %,Total Memory-Safety Properties,Total Memory-Safety Properties By Class,Verified Memory-Safety Properties,Verified Memory-Safety Properties By Class,Verified Memory-Safety Properties %,Total Memory-Safety Property Lines,Verified Memory-Safety Property Lines,Vulnerability Report Count,Violated Memory-Safety Property Lines,Reported Vulnerabilities,Property Violations,Precondition Violations,Generation Time,API Cost,Proof Size LOC,Proof File Size,Harness Size LOC,Source Files In Scope,Functions In Scope,Loop Unwindset Count,Loop Unwind Min,Loop Unwind Max,Model Used Variable Count,Assumption Variable Count,Harness Symbol Variable Count,Proof-Side Symbol Variable Count,Function Model Count,Function Model Avg LOC
gen_prov_cont,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/mesh/pb_adv.c,pb_adv/gen_prov_cont,True,True,True,True,True,True,0.540603,True,43,43,100.000000,184,151,82.065217,253,212,83.794466,667,"{""array bounds"": 6, ""assertion"": 2, ""overflow"": 24, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 590, ""pointer primitives"": 8, ""precondition_instance"": 3, ""undefined-shift"": 8}",667,"{""array bounds"": 6, ""assertion"": 2, ""overflow"": 24, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 590, ""pointer primitives"": 8, ""precondition_instance"": 3, ""undefined-shift"": 8}",100.000000,66,66,2,0,2,0,2,4205.621333,2.5326,58,69,43,1,28,1,2,3,14,11,34,34,5,3.000000
queue_encapsulated_cmd,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/usb/device/class/netusb/function_rndis.c,function_rndis/queue_encapsulated_cmd,True,True,True,True,True,True,0.023104,True,10,10,100.000000,35,14,40.000000,62,37,59.677419,59,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 20, ""pointer primitives"": 8, ""precondition_instance"": 3}",59,"{""assertion"": 2, ""pointer"": 2, ""pointer arithmetic"": 24, ""pointer dereference"": 20, ""pointer primitives"": 8, ""precondition_instance"": 3}",100.000000,8,8,0,0,0,0,0,470.487261,0.5099,16,25,7,1,7,0,2,2,2,2,10,10,2,4.500000
bt_buf_get_tx,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/host/hci_raw.c,hci_raw/bt_buf_get_tx,True,True,True,True,True,True,0.029108,True,22,22,100.000000,61,36,59.016393,81,56,69.135802,12,"{""assertion"": 2, ""pointer dereference"": 10}",12,"{""assertion"": 2, ""pointer dereference"": 10}",100.000000,3,3,0,0,0,0,0,335.892649,0.4262,20,32,7,1,9,0,2,2,1,0,18,18,3,4.333333
ull_scan_rsp_set,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/controller/ll_sw/ull_adv.c,ull_adv/ull_scan_rsp_set,True,True,True,True,True,True,1.291308,True,36,36,100.000000,127,127,100.000000,191,187,97.905759,304,"{""array bounds"": 8, ""assertion"": 2, ""overflow"": 21, ""pointer"": 3, ""pointer arithmetic"": 27, ""pointer dereference"": 215, ""pointer primitives"": 21, ""precondition_instance"": 5, ""undefined-shift"": 2}",304,"{""array bounds"": 8, ""assertion"": 2, ""overflow"": 21, ""pointer"": 3, ""pointer arithmetic"": 27, ""pointer dereference"": 215, ""pointer primitives"": 21, ""precondition_instance"": 5, ""undefined-shift"": 2}",100.000000,58,58,1,0,1,0,1,6072.576856,5.3590,51,59,29,1,10,0,2,2,6,6,22,22,2,11.000000
l2cap_chan_le_recv,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/host/l2cap.c,l2cap/l2cap_chan_le_recv,True,True,True,True,True,True,331.219634,False,48,48,100.000000,356,309,86.797753,451,400,88.691796,1380,"{""assertion"": 2, ""division-by-zero"": 1, ""overflow"": 5, ""pointer"": 4, ""pointer arithmetic"": 28, ""pointer dereference"": 1323, ""pointer primitives"": 10, ""precondition_instance"": 6, ""undefined-shift"": 1}",1242,"{""assertion"": 2, ""overflow"": 4, ""pointer"": 4, ""pointer arithmetic"": 24, ""pointer dereference"": 1201, ""pointer primitives"": 4, ""precondition_instance"": 2, ""undefined-shift"": 1}",90.000000,124,94,1,30,31,30,1,35218.511846,7.2985,78,93,45,1,53,0,2,2,10,10,44,44,9,3.666667
le_ecred_conn_req,zephyrproject,autoup-s1,exp-0408,zephyr/subsys/bluetooth/host/l2cap.c,l2cap/le_ecred_conn_req,True,True,True,True,True,True,1205.239030,False,73,71,97.260274,411,364,88.564477,475,428,90.105263,1165,"{""array bounds"": 14, ""assertion"": 2, ""overflow"": 8, ""pointer dereference"": 1136, ""precondition_instance"": 4, ""undefined-shift"": 1}",852,"{""array bounds"": 14, ""assertion"": 2, ""overflow"": 8, ""pointer dereference"": 824, ""precondition_instance"": 3, ""undefined-shift"": 1}",73.133047,131,80,0,51,51,51,0,41305.057945,3.9414,55,71,9,1,59,0,2,2,0,0,43,43,10,4.600000
gatt_find_info_rsp,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/host/gatt.c,gatt/gatt_find_info_rsp,True,True,True,True,True,True,21.077836,False,60,59,98.333333,7494,255,3.402722,7679,319,4.154187,23090,"{""array bounds"": 68, ""assertion"": 3, ""division-by-zero"": 3, ""overflow"": 84, ""pointer"": 81, ""pointer arithmetic"": 628, ""pointer dereference"": 21851, ""pointer primitives"": 194, ""precondition"": 2, ""precondition_instance"": 141, ""undefined-shift"": 35}",23089,"{""array bounds"": 68, ""assertion"": 3, ""division-by-zero"": 3, ""overflow"": 84, ""pointer"": 81, ""pointer arithmetic"": 628, ""pointer dereference"": 21851, ""pointer primitives"": 194, ""precondition"": 2, ""precondition_instance"": 140, ""undefined-shift"": 35}",99.995669,1935,1934,0,1,1,1,0,47300.165299,8.2419,129,194,31,13,676,1,2,3,7,7,116,116,21,4.666667
is_mount_point,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/is_mount_point,True,True,True,True,True,True,333.085069,False,4,4,100.000000,21,21,100.000000,59,59,100.000000,132,"{""assertion"": 3, ""pointer"": 3, ""pointer arithmetic"": 36, ""pointer dereference"": 78, ""pointer primitives"": 12}",126,"{""assertion"": 3, ""pointer"": 3, ""pointer arithmetic"": 33, ""pointer dereference"": 75, ""pointer primitives"": 12}",95.454545,19,15,1,4,5,4,1,14993.891854,2.0791,8,11,8,2,2,1,2,4097,1,1,2,2,0,
cmd_write,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/settings/src/settings_shell.c,settings_shell/cmd_write,True,True,True,True,True,True,81.755618,True,26,25,96.153846,113,110,97.345133,182,175,96.153846,366,"{""assertion"": 2, ""overflow"": 7, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 331, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",366,"{""assertion"": 2, ""overflow"": 7, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 331, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",100.000000,46,46,1,0,1,0,1,3553.881191,2.4821,52,58,49,4,18,2,2,258,9,9,21,21,1,3.000000
imx_mu_ipm_send,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/ipm/ipm_imx.c,ipm_imx/imx_mu_ipm_send,True,True,True,True,True,True,0.989138,False,24,24,100.000000,48,47,97.916667,86,81,94.186047,87,"{""array bounds"": 6, ""assertion"": 5, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 48, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",86,"{""array bounds"": 6, ""assertion"": 4, ""overflow"": 2, ""pointer"": 2, ""pointer arithmetic"": 15, ""pointer dereference"": 48, ""pointer primitives"": 5, ""precondition_instance"": 3, ""undefined-shift"": 1}",98.850575,21,20,3,1,4,1,3,3802.914683,3.8402,27,37,27,2,5,2,2,5,7,7,13,13,0,
crypto_stm32_cbc_decrypt,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/crypto/crypto_stm32.c,crypto_stm32/crypto_stm32_cbc_decrypt,True,True,True,True,False,True,0.053215,False,13,9,69.230769,270,57,21.111111,308,76,24.675325,334,"{""assertion"": 2, ""overflow"": 1, ""pointer"": 6, ""pointer arithmetic"": 66, ""pointer dereference"": 228, ""pointer primitives"": 22, ""precondition_instance"": 9}",257,"{""assertion"": 2, ""overflow"": 1, ""pointer"": 6, ""pointer arithmetic"": 48, ""pointer dereference"": 175, ""pointer primitives"": 20, ""precondition_instance"": 5}",76.946108,37,24,,13,13,13,,634.906934,0.9233,18,25,10,4,37,0,2,2,1,0,15,15,2,4.000000
le_advertising_report,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/controller/hci/hci.c,hci/le_advertising_report,True,True,True,True,True,True,0.488393,True,32,32,100.000000,51,51,100.000000,89,85,95.505618,203,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 3, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 138, ""pointer primitives"": 12, ""precondition_instance"": 6}",203,"{""array bounds"": 2, ""assertion"": 2, ""overflow"": 3, ""pointer"": 4, ""pointer arithmetic"": 36, ""pointer dereference"": 138, ""pointer primitives"": 12, ""precondition_instance"": 6}",100.000000,26,26,2,0,2,0,2,3572.775828,4.0177,27,35,27,2,6,0,2,2,8,8,9,9,0,
usb_dc_ep_write,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/usb/device/usb_dc_native_posix.c,usb_dc_native_posix/usb_dc_ep_write,True,True,True,True,True,True,1.587410,True,24,24,100.000000,198,60,30.303030,228,78,34.210526,189,"{""array bounds"": 2, ""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 45, ""pointer dereference"": 107, ""pointer primitives"": 23, ""precondition_instance"": 6}",189,"{""array bounds"": 2, ""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 45, ""pointer dereference"": 107, ""pointer primitives"": 23, ""precondition_instance"": 6}",100.000000,23,23,2,0,2,0,2,807.078197,0.8952,16,23,11,4,17,0,2,2,4,3,11,11,1,5.000000
handle_encapsulated_rsp,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/usb/device/class/netusb/function_rndis.c,function_rndis/handle_encapsulated_rsp,True,True,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,500.696217,0.6477,,36,,,,0,2,2,2,0,,,,
bt_tbs_remote_incoming,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/audio/tbs.c,tbs/bt_tbs_remote_incoming,True,True,True,True,True,True,35.078464,False,29,27,93.103448,2222,385,17.326733,2388,530,22.194305,5676,"{""array bounds"": 19, ""assertion"": 2, ""overflow"": 38, ""pointer"": 28, ""pointer arithmetic"": 258, ""pointer dereference"": 5205, ""pointer primitives"": 80, ""precondition"": 2, ""precondition_instance"": 36, ""undefined-shift"": 8}",5671,"{""array bounds"": 19, ""assertion"": 2, ""overflow"": 36, ""pointer"": 28, ""pointer arithmetic"": 258, ""pointer dereference"": 5204, ""pointer primitives"": 78, ""precondition"": 2, ""precondition_instance"": 36, ""undefined-shift"": 8}",99.911910,582,577,1,5,6,5,1,66528.237050,20.5026,137,174,107,7,227,7,2,32,27,16,46,46,3,10.000000
nrf5_tx,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/ieee802154/ieee802154_nrf5.c,ieee802154_nrf5/nrf5_tx,True,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,552.400194,1.0904,,14,,,,0,2,2,0,0,,,,
fuse_fs_access_readdir,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/fs/fuse_fs_access_bottom.c,fuse_fs_access_bottom/fuse_fs_access_readdir,True,True,True,True,True,True,72.476929,False,48,48,100.000000,113,113,100.000000,177,177,100.000000,206,"{""array bounds"": 2, ""assertion"": 3, ""overflow"": 4, ""pointer"": 3, ""pointer arithmetic"": 36, ""pointer dereference"": 138, ""pointer primitives"": 20}",198,"{""array bounds"": 2, ""assertion"": 3, ""overflow"": 2, ""pointer"": 3, ""pointer arithmetic"": 33, ""pointer dereference"": 135, ""pointer primitives"": 20}",96.116505,35,29,2,6,8,6,2,5242.968648,3.5130,34,44,17,3,6,2,2,81,3,2,19,19,2,8.500000
eswifi_mgmt_iface_status,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/wifi/eswifi/eswifi_core.c,eswifi_core/eswifi_mgmt_iface_status,True,True,True,True,False,True,1404.138847,False,28,28,100.000000,507,358,70.611440,596,428,71.812081,1244,"{""array bounds"": 1, ""assertion"": 2, ""overflow"": 12, ""pointer"": 3, ""pointer arithmetic"": 35, ""pointer dereference"": 1152, ""pointer primitives"": 32, ""precondition_instance"": 4, ""undefined-shift"": 3}",1196,"{""assertion"": 2, ""overflow"": 11, ""pointer"": 3, ""pointer arithmetic"": 34, ""pointer dereference"": 1118, ""pointer primitives"": 21, ""precondition_instance"": 4, ""undefined-shift"": 3}",96.141479,155,133,,22,22,22,,8239.201419,10.3357,69,83,48,6,72,2,2,8,17,17,36,36,2,10.500000
eswifi_shell_atcmd,zephyrproject,autoup-s2,exp-0413,zephyr/drivers/wifi/eswifi/eswifi_shell.c,eswifi_shell/eswifi_shell_atcmd,True,True,True,True,True,True,1352.516570,True,18,18,100.000000,34,34,100.000000,61,61,100.000000,102,"{""assertion"": 2, ""overflow"": 1, ""pointer dereference"": 96, ""precondition_instance"": 3}",102,"{""assertion"": 2, ""overflow"": 1, ""pointer dereference"": 96, ""precondition_instance"": 3}",100.000000,17,17,0,0,0,0,0,10192.630233,1.2427,21,25,21,1,9,2,2,1601,2,2,8,8,0,
send_sf,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/canbus/isotp/isotp.c,isotp/send_sf,True,True,True,True,True,True,1.006189,True,29,29,100.000000,113,83,73.451327,169,129,76.331361,353,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 306, ""pointer primitives"": 7, ""precondition_instance"": 4}",353,"{""array bounds"": 9, ""assertion"": 2, ""overflow"": 5, ""pointer"": 2, ""pointer arithmetic"": 18, ""pointer dereference"": 306, ""pointer primitives"": 7, ""precondition_instance"": 4}",100.000000,50,50,3,0,3,0,3,2492.369448,1.7458,36,42,33,3,15,0,2,2,12,10,15,15,1,3.000000
gen_prov_cont,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/mesh/pb_adv.c,pb_adv/gen_prov_cont,True,True,True,True,True,True,3469.426392,False,43,43,100.000000,675,455,67.407407,761,529,69.513798,1328,"{""array bounds"": 13, ""assertion"": 2, ""overflow"": 37, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 1183, ""pointer primitives"": 20, ""precondition_instance"": 7, ""undefined-shift"": 14}",1322,"{""array bounds"": 13, ""assertion"": 2, ""overflow"": 31, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 1183, ""pointer primitives"": 20, ""precondition_instance"": 7, ""undefined-shift"": 14}",99.548193,157,152,2,5,7,5,2,80797.873473,9.4004,72,93,54,10,111,1,2,3,14,12,30,30,4,4.500000
queue_encapsulated_cmd,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/usb/device/class/netusb/function_rndis.c,function_rndis/queue_encapsulated_cmd,True,True,True,True,True,True,0.425975,False,10,10,100.000000,310,164,52.903226,362,200,55.248619,462,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 375, ""pointer primitives"": 20, ""precondition_instance"": 13}",450,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 363, ""pointer primitives"": 20, ""precondition_instance"": 13}",97.402597,62,60,0,2,2,2,0,3715.579721,4.4011,38,54,29,6,55,0,2,2,7,7,16,16,2,4.500000
bt_buf_get_tx,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/host/hci_raw.c,hci_raw/bt_buf_get_tx,True,True,True,True,True,True,0.096249,True,19,19,100.000000,215,72,33.488372,246,95,38.617886,286,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 203, ""pointer primitives"": 16, ""precondition_instance"": 13}",286,"{""assertion"": 2, ""pointer"": 4, ""pointer arithmetic"": 48, ""pointer dereference"": 203, ""pointer primitives"": 16, ""precondition_instance"": 13}",100.000000,33,33,1,0,1,0,1,940.161321,0.9424,17,37,12,5,25,0,2,2,3,2,10,10,1,5.000000
ull_scan_rsp_set,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/controller/ll_sw/ull_adv.c,ull_adv/ull_scan_rsp_set,True,True,True,True,True,True,1.952831,True,36,36,100.000000,127,127,100.000000,202,198,98.019802,310,"{""array bounds"": 12, ""assertion"": 2, ""overflow"": 21, ""pointer"": 3, ""pointer arithmetic"": 27, ""pointer dereference"": 225, ""pointer primitives"": 13, ""precondition_instance"": 5, ""undefined-shift"": 2}",310,"{""array bounds"": 12, ""assertion"": 2, ""overflow"": 21, ""pointer"": 3, ""pointer arithmetic"": 27, ""pointer dereference"": 225, ""pointer primitives"": 13, ""precondition_instance"": 5, ""undefined-shift"": 2}",100.000000,61,61,2,0,2,0,2,3465.688139,4.3544,62,72,45,1,10,0,2,2,6,6,24,24,2,8.500000
l2cap_chan_le_recv,zephyrproject,autoup-s2,exp-0413,zephyr/subsys/bluetooth/host/l2cap.c,l2cap/l2cap_chan_le_recv,True,True,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,1643.549988,0.5684,,52,,,,0,2,2,0,0,,,,
